il_kod,ilce,lat,lon
35,BEYDAĞ,38.08687390,28.20880130
35,BORNOVA,38.46265480,27.24409570
35,BUCA,38.41885000,27.12872000
35,ÇEŞME,38.32981000,26.31492100
35,ÇİĞLİ,38.49943220,27.03821580
35,DİKİLİ,39.07209700,26.88820300
35,FOÇA,38.66750000,26.75805560
35,GAZİEMİR,38.32515000,27.12252000
35,GÜZELBAHÇE,38.36197610,26.90281250
35,KARABAĞLAR,38.32698820,27.04410090
35,KARABURUN,38.63333330,26.51666670
35,KARŞIYAKA,38.41885000,27.12872000
35,KEMALPAŞA,38.42632300,27.42305200
35,KINIK,39.08837100,27.38069000
35,KİRAZ,38.23060000,28.20440000
35,KONAK,38.41448020,27.14412270
35,MENDERES(CUMAOVASI),38.25400000,27.13400000
35,MENEMEN,38.60000000,27.06666670
35,NARLIDERE,38.39099890,27.00290150
35,ÖDEMİŞ,38.23055560,27.97166670
35,SEFERİHİSAR,38.19892100,26.83733900
35,SELÇUK,37.94988800,27.37014200
35,TİRE,38.08858100,27.73347100
35,TORBALI,38.17784100,27.35334000
35,URLA,38.32457000,26.76190000
36,AKYAKA,40.74444440,43.62500000
36,ARPAÇAY,40.85000000,43.33333330
36,DİGOR,40.37555560,43.41250000
36,KAĞIZMAN,40.15771810,43.13312310
36,KARS,40.59267000,43.07783100
36,SARIKAMIŞ,40.33192100,42.59516900
36,SELİM,40.46333330,42.78583330
36,SUSUZ,40.78000000,43.13527780
37,ABANA,41.97583330,34.01138890
37,AĞLI,41.68736120,33.55346650
37,ARAÇ,41.24222220,33.32833330
37,AZDAVAY,41.64081260,33.29832790
37,BOZKURT,41.96099090,34.01532410
37,CİDE,41.89194100,33.00019200
37,ÇATALZEYTİN,41.95452100,34.21503100
37,DADAY,41.47921280,33.46907000
37,DEVREKANİ,41.60027780,33.83333330
37,DOĞANYURT,42.00414890,33.45984100
37,HANÖNÜ(GÖKÇEAĞAÇ),41.63853220,34.49706750
37,İHSANGAZİ,41.20332030,33.55178340
37,İNEBOLU,41.97472220,33.76083330
37,KASTAMONU,41.38871000,33.78273000
37,KÜRE,41.80477310,33.71068550
37,PINARBAŞI,41.60243920,33.10568160
37,SEYDİLER,41.61936140,33.71546170
37,ŞENPAZAR,41.80694910,33.23254450
37,TAŞKÖPRÜ,41.51388890,34.21472220
37,TOSYA,41.01849130,34.03737390
38,AKKIŞLA,39.00000000,36.16666670
38,BÜNYAN,38.84830000,35.86000000
38,DEVELİ,38.38542900,35.49951900
38,FELAHİYE,39.09136480,35.56852190
38,HACILAR,38.64972220,35.45027780
38,İNCESU,38.62043000,35.18827800
38,KOCASİNAN,38.73333330,35.48333330
38,MELİKGAZİ,38.73333330,35.48333330
38,ÖZVATAN(ÇUKUR),38.73333330,35.48333330
38,PINARBAŞI,38.72200000,36.39100000
38,SARIOĞLAN,39.07939990,35.96525860
38,SARIZ,38.47916670,36.50055560
38,TALAS,38.68602000,35.57791100
38,TOMARZA,38.45000000,35.80000000
38,YAHYALI,38.10000000,35.36083330
38,YEŞİLHİSAR,38.35853170,35.08010680
39,BABAESKİ,41.43333330,27.10000000
39,DEMİRKÖY,41.82300000,27.76230000
39,KIRKLARELİ,41.73333330,27.21666670
39,KOFÇAZ,41.93990500,27.16206300
39,LÜLEBURGAZ,41.40000000,27.35000000
39,PEHLİVANKÖY,41.34805560,26.91972220
39,PINARHİSAR,41.62812820,27.51220860
39,VİZE,41.57361110,27.76527780
40,AKÇAKENT,39.62277780,34.09583330
40,AKPINAR,39.44722220,33.96805560
40,BOZTEPE,39.26972220,34.26111110
40,ÇİÇEKDAĞI,39.60694440,34.40861110
40,KAMAN,39.36711900,33.72934000
40,KIRŞEHİR,39.15000000,34.16666670
40,MUCUR,39.06361110,34.37833330
41,BAŞİSKELE,40.62983680,29.95092600
41,ÇAYIROVA,40.83614210,29.38310260
41,DARICA,40.76958700,29.37003100
41,DERİNCE,40.90211930,29.90465940
41,DİLOVASI,40.77972220,29.53500000
41,GEBZE,40.80000000,29.43333330
41,GÖLCÜK,40.71206030,29.84101740
41,İZMİT,40.77598600,29.94835700
41,KANDIRA,41.07000000,30.15000000
41,KARAMÜRSEL,40.68916670,29.61500000
41,KARTEPE,40.70139170,30.08963130
41,KÖRFEZ(TÜTÜNÇİFTLİK),40.74613000,29.78953000
42,AHIRLI,37.23750000,32.11805560
42,AKÖREN,37.45694440,32.36944440
42,AKŞEHİR,38.35591100,31.41540900
42,ALTINEKİN,38.30777780,32.86861110
42,BEYŞEHİR,37.67638890,31.72611110
42,BOZKIR,37.18777780,32.24805560
42,CİHANBEYLİ,38.65805560,32.92805560
42,ÇELTİK,39.02444440,31.79055560
42,ÇUMRA,37.57125100,32.78443900
42,DERBENT,38.01361110,32.01638890
42,DEREBUCAK,37.39361110,31.50750000
42,DOĞANHİSAR,38.14472220,31.67805560
42,EMİRGAZİ,37.90222220,33.83722220
42,EREĞLİ,37.50583330,34.05166670
42,GÜNEYSINIR,37.26861110,32.73305560
42,HADİM,36.99066900,32.46207000
42,HALKAPINAR,37.43530350,34.18934730
42,HÜYÜK,37.95194440,31.59583330
42,ILGIN,38.27916670,31.91388890
42,KADINHANI,38.23972220,32.21138890
42,KARAPINAR,37.71482100,33.55223800
42,KARATAY,37.86666670,32.48333330
42,KULU,39.08916670,33.08055560
42,MERAM,37.86666670,32.48333330
42,SARAYÖNÜ,38.26611110,32.40638890
42,SELÇUKLU,37.86666670,32.48333330
42,SEYDİŞEHİR,37.42390800,31.85071000
42,TAŞKENT,36.92250150,32.49483840
42,TUZLUKÇU,38.47816800,31.63121000
42,YALIHÜYÜK,37.30361110,32.08694440
42,YUNAK,38.81722220,31.73555560
43,ALTINTAŞ,39.06152280,30.10984720
43,ASLANAPA,39.21904000,29.87431900
43,ÇAVDARHİSAR,39.19777780,29.61583330
43,DOMANİÇ,39.80347100,29.61153000
43,DUMLUPINAR,38.85639730,29.97694410
43,EMET,39.34206240,29.25822820
43,GEDİZ,38.98762170,29.38600540
43,HİSARCIK,39.24692250,29.24079550
43,KÜTAHYA,39.41666670,29.98333330
43,PAZARLAR,38.99710920,29.12452550
43,SİMAV,39.09273900,28.97761000
43,ŞAPHANE,39.02777780,29.22277780
43,TAVŞANLI,39.54439900,29.49157900
44,AKÇADAĞ,38.35000000,37.96666670
44,ARAPKİR(ARAPGİR),39.04668470,38.48782340
44,ARGUVAN,38.77302930,38.27138670
44,BATTALGAZİ,38.42277780,38.36555560
44,DARENDE,38.54720000,37.51110000
44,DOĞANŞEHİR,38.09583330,37.87916670
44,DOĞANYOL,38.31055560,39.03944440
44,HEKİMHAN,38.81666670,37.93333330
44,KALE,38.41611110,38.76666670
44,KULUNCAK,38.88333330,37.66666670
44,MALATYA,38.35519000,38.30946000
44,PÜTÜRGE(PÖTÜRGE),38.19666670,38.86972220
44,YAZIHAN,38.59694440,38.18777780
44,YEŞİLYURT,38.29744890,38.24427270
45,AHMETLİ,38.52150640,27.93954540
45,AKHİSAR,38.92469000,27.83618000
45,ALAŞEHİR,38.35086100,28.51516900
45,DEMİRCİ,39.04500000,28.65805560
45,GÖLMARMARA,38.71666670,27.91666670
